root_node,chain_len,halstead_difficulty,halstead_effort
9jPK8KBWzjFmBx4Hb,10,"[11.0, 11.0, 12.100000000000001, 10.214285714285715, 11.916666666666666, 11.916666666666666, 11.916666666666666, 11.916666666666666, 9.0, 10.0]","[784.5564378569723, 775.5725534932801, 920.5462204188476, 893.174505818455, 984.1459832629273, 984.1459832629273, 994.054253160359, 984.1459832629273, 641.9098127920682, 769.1767875292167]"
9jPK8KBWzjFmBx4Hb,8,"[6.857142857142857, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 8.0]","[483.4737995802265, 526.4492484318023, 641.9098127920682, 641.9098127920682, 526.4492484318023, 641.9098127920682, 641.9098127920682, 532.5474002423084]"
9jPK8KBWzjFmBx4Hb,2,"[7.2, 7.2]","[417.4027995044511, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,16,"[9.0, 10.714285714285714, 12.5, 12.5, 13.333333333333332, 12.5, 12.5, 13.333333333333332, 14.666666666666666, 12.5, 13.75, 13.75, 12.833333333333334, 13.75, 12.833333333333334, 14.0]","[706.5922457676267, 910.7142857142857, 1000.0, 1000.0, 1085.3254061334055, 1000.0, 1000.0, 1085.3254061334055, 1278.9012322249448, 1000.0, 1179.1271254000385, 1179.1271254000385, 1090.8333333333335, 1179.1271254000385, 1080.8404950494032, 1260.0]"
9jPK8KBWzjFmBx4Hb,2,"[9.0, 9.0]","[641.9098127920682, 641.9098127920682]"
9jPK8KBWzjFmBx4Hb,5,"[9.0, 8.0, 9.0, 9.0, 9.0]","[641.9098127920682, 532.5474002423084, 641.9098127920682, 648.9929144777766, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,14,"[11.666666666666668, 15.0, 16.25, 11.916666666666666, 13.0, 9.0, 9.0, 8.0, 12.833333333333334, 16.0, 12.833333333333334, 14.0, 12.833333333333334, 12.833333333333334]","[924.7833112722168, 1361.9864122267822, 1570.754152236042, 984.1459832629273, 1148.2123993723933, 641.9098127920682, 641.9098127920682, 526.4492484318023, 1090.8333333333335, 1500.3225693011377, 1100.5186503733694, 1271.1873180783302, 1090.8333333333335, 1090.8333333333335]"
9jPK8KBWzjFmBx4Hb,16,"[11.666666666666668, 4.800000000000001, 4.800000000000001, 4.800000000000001, 4.800000000000001, 4.800000000000001, 4.800000000000001, 4.800000000000001, 10.5, 10.5, 11.666666666666668, 8.666666666666666, 9.75, 8.0, 11.666666666666668, 10.5]","[924.7833112722168, 224.29057270982133, 224.29057270982133, 224.29057270982133, 224.29057270982133, 224.29057270982133, 224.29057270982133, 224.29057270982133, 772.8352688083418, 772.8352688083418, 924.7833112722168, 576.9263502625007, 703.0756573509246, 526.4492484318023, 915.9529111802569, 772.8352688083418]"
9jPK8KBWzjFmBx4Hb,14,"[10.5, 9.333333333333334, 9.333333333333334, 12.833333333333334, 11.666666666666668, 11.666666666666668, 8.0, 9.0, 9.0, 9.0, 10.5, 10.5, 11.666666666666668, 12.833333333333334]","[772.8352688083418, 634.7761833633361, 634.7761833633361, 1090.8333333333335, 924.7833112722168, 924.7833112722168, 526.4492484318023, 641.9098127920682, 641.9098127920682, 706.5922457676267, 772.8352688083418, 772.8352688083418, 924.7833112722168, 1090.8333333333335]"
9jPK8KBWzjFmBx4Hb,3,"[10.5, 10.5, 8.0]","[772.8352688083418, 772.8352688083418, 526.4492484318023]"
9jPK8KBWzjFmBx4Hb,6,"[7.071428571428571, 9.0, 9.0, 9.0, 8.0, 9.0]","[525.4191574716546, 641.9098127920682, 641.9098127920682, 641.9098127920682, 526.4492484318023, 641.9098127920682]"
9jPK8KBWzjFmBx4Hb,1,[8.0],[526.4492484318023]
9jPK8KBWzjFmBx4Hb,7,"[8.0, 9.75, 9.75, 12.142857142857142, 11.428571428571427, 11.428571428571427, 11.428571428571427]","[526.4492484318023, 703.0756573509246, 703.0756573509246, 1058.8305656407822, 980.0537146182137, 980.0537146182137, 980.0537146182137]"
9jPK8KBWzjFmBx4Hb,1,[11.666666666666668],[924.7833112722168]
9jPK8KBWzjFmBx4Hb,1,[4.800000000000001],[224.29057270982133]
9jPK8KBWzjFmBx4Hb,3,"[10.5, 10.5, 10.5]","[772.8352688083418, 772.8352688083418, 772.8352688083418]"
9jPK8KBWzjFmBx4Hb,12,"[11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 4.800000000000001, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 10.0, 11.666666666666668]","[924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 224.29057270982133, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 924.7833112722168, 769.1767875292167, 924.7833112722168]"
9jPK8KBWzjFmBx4Hb,1,[10.5],[772.8352688083418]
9jPK8KBWzjFmBx4Hb,6,"[11.666666666666668, 14.666666666666666, 14.666666666666666, 16.0, 16.0, 12.833333333333334]","[924.7833112722168, 1298.8903724968181, 1298.8903724968181, 1511.4031238717525, 1511.4031238717525, 1090.8333333333335]"
9jPK8KBWzjFmBx4Hb,20,"[10.5, 10.5, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 11.666666666666668, 9.0, 10.0, 14.399999999999999, 9.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 12.833333333333334, 12.833333333333334]","[772.8352688083418, 772.8352688083418, 924.7833112722168, 924.7833112722168, 933.3333333333335, 924.7833112722168, 924.7833112722168, 577.7052750908657, 696.5784284662086, 1201.206817804965, 641.9098127920682, 769.1767875292167, 769.1767875292167, 769.1767875292167, 641.9098127920682, 769.1767875292167, 769.1767875292167, 769.1767875292167, 1090.8333333333335, 1090.8333333333335]"
9jPK8KBWzjFmBx4Hb,8,"[8.0, 8.0, 10.799999999999999, 8.0, 7.0, 7.0, 7.0, 7.0]","[476.8361000750002, 476.8361000750002, 734.5267264632888, 476.8361000750002, 379.9792043087891, 379.9792043087891, 379.9792043087891, 379.9792043087891]"
9jPK8KBWzjFmBx4Hb,2,"[9.0, 9.0]","[577.7052750908657, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,2,"[6.3, 7.2]","[332.0591971620743, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,9,"[8.0, 9.0, 7.2, 7.0, 8.0, 8.0, 8.0, 7.2, 7.2]","[476.8361000750002, 585.1258799116152, 417.4027995044511, 379.9792043087891, 476.8361000750002, 476.8361000750002, 526.4492484318023, 417.4027995044511, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,2,"[7.2, 10.0]","[417.4027995044511, 769.1767875292167]"
9jPK8KBWzjFmBx4Hb,10,"[9.333333333333334, 9.333333333333334, 10.5, 10.5, 9.333333333333334, 10.5, 7.333333333333333, 8.0, 8.0, 8.0]","[634.7761833633361, 634.7761833633361, 772.8352688083418, 772.8352688083418, 634.7761833633361, 780.2859188859328, 482.5784777291521, 532.5474002423084, 532.5474002423084, 476.8361000750002]"
9jPK8KBWzjFmBx4Hb,7,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]","[526.4492484318023, 526.4492484318023, 526.4492484318023, 532.5474002423084, 526.4492484318023, 532.5474002423084, 526.4492484318023]"
9jPK8KBWzjFmBx4Hb,12,"[6.857142857142857, 7.333333333333333, 10.714285714285714, 10.0, 10.714285714285714, 10.714285714285714, 12.571428571428571, 13.714285714285714, 14.57142857142857, 14.57142857142857, 14.57142857142857, 12.571428571428571]","[489.074143079671, 482.5784777291521, 910.7142857142857, 834.1714012534482, 910.7142857142857, 910.7142857142857, 1151.2201629343624, 1336.544603272517, 1442.2743746555577, 1442.2743746555577, 1431.3306646850285, 1151.2201629343624]"
9jPK8KBWzjFmBx4Hb,3,"[8.0, 9.0, 9.0]","[526.4492484318023, 641.9098127920682, 641.9098127920682]"
9jPK8KBWzjFmBx4Hb,6,"[8.0, 8.0, 8.0, 11.666666666666668, 8.0, 9.0]","[526.4492484318023, 532.5474002423084, 526.4492484318023, 941.6202356135781, 470.45044342992935, 577.7052750908657]"
BGnWsiJhqWwaYPo7G,1,[10.0],[769.1767875292167]
BGnWsiJhqWwaYPo7G,6,"[10.799999999999999, 12.833333333333334, 12.0, 12.0, 12.833333333333334, 11.0]","[726.8720642151096, 1090.8333333333335, 883.2403072095334, 874.4365791229629, 1090.8333333333335, 784.5564378569723]"
BGnWsiJhqWwaYPo7G,3,"[9.0, 8.0, 9.0]","[641.9098127920682, 476.8361000750002, 641.9098127920682]"
BGnWsiJhqWwaYPo7G,1,[9.0],[641.9098127920682]
BGnWsiJhqWwaYPo7G,2,"[10.0, 10.0]","[769.1767875292167, 769.1767875292167]"
BGnWsiJhqWwaYPo7G,1,[10.5],[780.2859188859328]
9jPK8KBWzjFmBx4Hb,1,[9.0],[641.9098127920682]
9jPK8KBWzjFmBx4Hb,1,[7.0],[379.9792043087891]
9jPK8KBWzjFmBx4Hb,1,[9.0],[577.7052750908657]
9jPK8KBWzjFmBx4Hb,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,2,"[7.2, 7.2]","[417.4027995044511, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,11,"[12.0, 12.0, 10.799999999999999, 12.0, 8.0, 12.0, 9.0, 12.100000000000001, 10.0, 9.0, 9.0]","[874.4365791229629, 874.4365791229629, 726.8720642151096, 874.4365791229629, 476.8361000750002, 874.4365791229629, 577.7052750908657, 920.5462204188476, 769.1767875292167, 585.1258799116152, 585.1258799116152]"
9jPK8KBWzjFmBx4Hb,7,"[11.666666666666668, 9.0, 11.666666666666668, 8.0, 10.5, 8.0, 8.0]","[924.7833112722168, 641.9098127920682, 924.7833112722168, 532.5474002423084, 780.2859188859328, 476.8361000750002, 476.8361000750002]"
9jPK8KBWzjFmBx4Hb,2,"[7.2, 7.2]","[417.4027995044511, 417.4027995044511]"
