id,time_taken
8895,"[datetime.timedelta(seconds=94, microseconds=902433), datetime.timedelta(seconds=12038, microseconds=15413), datetime.timedelta(seconds=8, microseconds=867572), datetime.timedelta(seconds=3, microseconds=518334), datetime.timedelta(seconds=2928, microseconds=819777)]"
8941,[]
8966,[]
9021,[]
9119,"[datetime.timedelta(seconds=7, microseconds=456765), datetime.timedelta(seconds=15, microseconds=386693), datetime.timedelta(seconds=1, microseconds=480152)]"
9017,"[datetime.timedelta(seconds=4, microseconds=529587), datetime.timedelta(seconds=7, microseconds=99660), datetime.timedelta(seconds=13, microseconds=823457), datetime.timedelta(seconds=63, microseconds=484235), datetime.timedelta(seconds=10, microseconds=574766), datetime.timedelta(seconds=9, microseconds=672244), datetime.timedelta(seconds=75, microseconds=794665), datetime.timedelta(seconds=80, microseconds=641430), datetime.timedelta(seconds=2, microseconds=601438)]"
9026,[]
9028,[]
9252,[]
9452,[]
9024,"[datetime.timedelta(seconds=14, microseconds=233086)]"
9058,"[datetime.timedelta(seconds=3, microseconds=726150), datetime.timedelta(seconds=8, microseconds=952460)]"
9094,[]
9221,[]
9018,[]
9019,[]
9020,[]
9054,[]
9079,[]
9095,[]
9111,[]
9223,[]
9441,[]
9244,[]
9254,[]
9296,[]
9247,"[datetime.timedelta(seconds=7, microseconds=251430), datetime.timedelta(seconds=50, microseconds=892633), datetime.timedelta(seconds=24, microseconds=93343), datetime.timedelta(seconds=2, microseconds=736899), datetime.timedelta(seconds=4, microseconds=572633)]"
9322,[]
9335,[]
9336,[]
9345,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=3, microseconds=105005), datetime.timedelta(seconds=3, microseconds=216357), datetime.timedelta(seconds=3, microseconds=909825), datetime.timedelta(seconds=4, microseconds=149289), datetime.timedelta(seconds=59, microseconds=896264)]"
9382,[]
9383,[]
9384,[]
9462,"[datetime.timedelta(seconds=5, microseconds=487628)]"
9463,[]
