id,parseerror_fix_steps,unsat_to_sat_steps
11165,[1],[]
11013,[2],[]
11017,[],[]
11025,[],[]
11045,"[4, 3]","[19, 12, 8, 1]"
11154,[],[]
10999,"[1, 1, 1]",[]
11007,[2],[]
11041,"[4, 3]",[]
11347,[],[]
11872,[],[]
11873,[],[]
12022,[],[]
13286,"[4, 2, 1, 4]",[]
13320,[],[]
13337,"[4, 1, 2]",[]
11995,[],[]
13346,"[3, 1]","[1, 1]"
13392,"[3, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12031,[],[]
12033,[1],[]
12090,[],[]
12119,[],[]
12120,[],[]
12124,[],[]
12483,[1],[]
12446,[],[]
12449,[1],[]
12509,[],[]
12513,[],[]
12580,[],[]
12538,"[1, 1]","[1, 6, 1, 1]"
12831,[],[]
12800,[],[]
13867,[],[]
13865,[],[]
12926,[],[]
13405,[],[]
13407,[],[]
13411,[],[]
13413,[],[]
13417,[],[]
13437,[],[]
13440,[],[]
13481,[],[]
13510,[],[1]
13540,"[3, 1]",[2]
13406,[],[]
13412,[],[]
13435,[],[]
13472,[],[1]
13489,[],[]
13491,[],[]
13492,[],[]
13493,[],[]
13495,[],[]
12967,[],[]
13409,[],[]
13477,[],"[1, 1, 1, 1, 1]"
13079,[],[]
13084,[2],[]
13426,[1],[1]
13504,[],[]
13505,[],[]
13528,[1],[]
13090,[1],[]
13856,[3],[]
13864,[1],[]
13866,[],[]
13558,[],[]
13568,[],[]
13569,[],[]
13571,[],[]
13582,[],[]
13637,[],[]
13543,[],[]
13605,[],[]
13189,[],[]
13196,[],[]
13567,[],[]
13570,[],[]
13617,[],[]
13626,[],[]
14044,[],[]
14022,[],[]
14018,[],[]
14007,[],[]
14040,[],[1]
14046,[],[]
14058,[],[]
14080,[],[]
14083,[],[]
14089,[],[]
14084,[],[]
14088,[],[]
14085,[],[]
14086,[],[]
14093,[],[]
14095,[],[]
14096,[],[]
14098,[],[]
14099,[],[]
14100,[],[]
14102,[],[]
14104,[],[]
14105,[],[]
14109,[],[]
14110,[],[]
14111,[],[]
14112,[],[]
14113,[],[]
14114,[],[]
14115,[],[]
14116,[],[]
14119,[],[]
14242,[],[]
14244,[],[]
14247,[],[]
14264,[],[]
14284,[],[]
14285,[],[]
14292,[],[]
14321,[],[]
14327,[],[]
14328,[],[]
14334,[],[]
14339,[],[]
14340,[],[]
14342,[],[]
14343,[],[]
14344,[],[]
14369,[],[]
14620,"[1, 1, 2, 1]",[]
14611,[],[]
14608,[],[]
14453,[],[]
14602,[],[]
14600,[],[]
14642,[],[]
14648,"[1, 1, 2, 1]",[]
14650,"[1, 1, 2, 1]",[]
14698,[],[]
15755,[],[]
15855,[],[]
15757,[],[]
17030,[],[]
16963,[],[]
17182,[1],[]
16948,"[1, 1]",[]
17183,[],[]
16947,[],[]
17272,[],[]
17283,"[1, 1, 4]",[2]
17409,[],[]
30139,[],[]
30282,[],[1]
30255,[],"[1, 1, 1]"
30053,[],[]
23102,[],[]
27808,[],[]
28955,[],[]
23730,[],[]
27605,[],[]
27604,[],[]
29900,[],[]
28854,[],[]
23101,[],[]
23100,[],[]
20305,[],[]
23645,[],[]
23099,[],[]
28818,[],[]
23103,[],[]
28988,[],[]
27971,[],[]
29993,"[3, 1, 1, 1, 2, 7, 1, 2, 1, 1]","[1, 1, 2]"
27809,[],[]
27637,[],[]
28003,[],[]
23104,[1],[]
29011,[],[]
29012,"[1, 4]",[]
28820,[1],[]
28822,[1],[]
29297,[],[]
29063,[],[]
27825,"[1, 1]",[]
28326,"[1, 1]",[]
28024,[],[]
28461,[],[]
28332,[2],[1]
27807,[2],[1]
28334,[],[1]
27805,[],[]
29986,[],[]
30154,[],[]
17895,[],[]
28932,[],[]
17475,[],[]
20273,[],[]
17483,[2],[]
27857,[],[]
28308,[],[]
17411,[],[]
28336,"[1, 1, 2, 1]",[]
17490,"[1, 1, 2, 1]",[]
27989,[],[]
23343,"[1, 1, 2, 1]",[]
28022,"[1, 1, 2, 1]",[]
28023,[],[]
20330,"[1, 1, 2, 1]",[]
28029,"[1, 1, 2, 1]",[]
29887,"[1, 1, 2, 1]",[]
28335,"[1, 1, 2, 1]",[]
30120,"[1, 1, 2, 1]",[]
28319,"[1, 1, 2, 1]",[]
24450,"[1, 1, 2, 1]",[]
24594,"[1, 1, 2, 1]",[]
30556,"[1, 1, 2, 1]",[]
28016,"[1, 1, 2, 1]",[]
17476,"[1, 1, 2, 1]",[]
17474,"[1, 1, 2, 1]",[]
17417,"[1, 1, 2, 1]",[]
28317,"[1, 1, 2, 1]",[]
27942,"[1, 1, 2, 1]",[]
21378,[],[]
27826,[],[]
27827,"[1, 1, 2, 1]",[]
28021,"[1, 1, 2, 1]",[]
28402,[],[]
27849,[],[]
27848,"[1, 1, 2, 1]",[]
27847,[],[]
27703,[],[]
28584,"[1, 1, 2, 1]",[]
20760,"[1, 1, 2, 1]",[]
17439,[],[]
17484,[2],[]
17532,[],[1]
18440,[],[]
20296,"[1, 1, 2, 1]",[]
20304,[3],[]
20313,[],[]
20314,[],[]
20315,[],[]
20317,[],[]
23131,[],[]
20909,[],[]
27941,[],[]
27936,[],[]
27940,[],[]
21457,[],[]
21456,[],[]
21407,"[2, 1]",[1]
21436,[],[]
30554,[],[]
21441,[],[]
21439,[],[]
30484,[],[]
21440,[],[]
21777,[],[]
21816,[],[]
22192,[],[]
22860,"[1, 1]",[]
22925,[],[]
23077,"[1, 4, 1]",[]
23227,[2],[]
23238,"[3, 4, 1, 5, 1]","[1, 4, 3, 1, 1]"
23297,"[3, 1, 1]",[1]
23314,[],[]
23321,[14],[]
23341,[],[1]
23342,[1],"[16, 1]"
23688,[],[]
23411,[3],[]
23593,[],[]
23643,"[1, 2, 8, 2, 4, 4]",[]
23742,[],[]
23646,[],[]
23684,[],[]
23769,"[5, 2]",[]
23802,[1],[]
23903,"[4, 1, 4]",[1]
24109,[],[]
23936,[17],[]
24092,"[1, 2, 1, 1, 1, 2, 1, 1, 2]","[1, 1, 5, 1, 1, 1]"
25761,[9],[]
25692,[],[]
24273,[],[]
24216,[],[]
24219,"[1, 3, 1, 2, 1, 1, 42, 1, 2, 1, 1, 6, 1, 1, 1]","[3, 4, 2, 2, 2]"
24220,"[1, 3, 1, 2, 1, 1, 42, 1, 2, 1, 1, 6, 1, 1, 1]","[3, 4, 2, 2, 2]"
24225,[2],[]
24227,[],[]
24272,[6],[]
24311,"[4, 1, 1]","[1, 2]"
24446,[],[]
24449,[],[]
24534,[7],[]
24536,"[5, 2, 2, 5, 8, 1]",[]
24541,[],[]
24577,"[1, 1, 2, 1, 2]",[]
24586,"[8, 1]",[]
24589,"[1, 1, 2, 1, 1]",[]
24596,"[1, 1, 2, 1, 1]",[]
24592,"[1, 1, 2, 1, 1]",[]
24595,"[1, 1, 2, 1, 1]",[]
24599,"[1, 1, 2, 1, 1]",[]
24619,"[1, 1, 2, 1, 1, 1, 1, 2]","[3, 1]"
24699,"[2, 12, 1, 1, 1, 1, 9, 6, 1, 2, 1, 1, 1]","[1, 1, 1]"
24720,"[1, 1, 1, 1]",[]
24750,"[2, 1, 2, 3, 2]",[]
24751,[2],[]
24797,"[2, 1, 1, 2, 1, 1, 4, 1, 3, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 3, 10, 3, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
24913,"[28, 4, 2, 4, 15, 1]","[8, 5, 1, 1]"
24921,[],[]
24924,[],[]
24937,[],[]
24941,[],[]
25303,[13],[]
24957,"[13, 6]",[]
25431,"[6, 1, 3, 1, 1, 2, 19, 8, 4, 6]","[1, 1, 1]"
27813,[],[]
25462,"[5, 7, 14, 11, 4, 1]","[1, 1]"
25499,"[1, 1, 7, 2, 3, 2]","[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 7, 1, 3, 1, 1]"
25552,[],[]
27004,"[15, 2, 1, 3, 38, 1, 17, 1, 21, 2, 1, 5, 5, 4]","[1, 1, 1, 1, 1, 1, 4, 21, 18, 1, 1, 1, 6]"
25565,[],[]
25601,[12],[]
25588,"[13, 1, 3, 3, 1, 1, 14, 1]",[]
25639,[],[]
25661,"[1, 1, 1, 3]",[]
25688,[],[]
25714,[],[]
27438,[],"[1, 1]"
25731,"[7, 4, 6, 10, 1, 1, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
25995,[],"[1, 1]"
25909,"[9, 3, 2, 4, 1]",[]
25984,"[3, 1]",[]
26054,"[2, 1]","[1, 1, 1, 1, 1, 2]"
26052,"[9, 3, 2, 4, 1, 4, 2, 3, 1, 1, 3, 4, 3, 1, 1, 4, 3, 3, 1]","[9, 4]"
26661,"[4, 1]","[2, 1]"
26056,[8],[]
26060,[],[]
26083,[19],[]
26090,"[1, 2, 6, 4, 3]",[]
26173,[],[]
26166,[],[]
26406,"[1, 4]",[]
26198,[],[]
