id,time_taken
7890,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7882,[]
7883,"[datetime.timedelta(seconds=49, microseconds=911938)]"
7886,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7889,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7891,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7902,[]
7926,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=13, microseconds=445925)]"
7982,[]
8043,"[datetime.timedelta(seconds=8, microseconds=883679), datetime.timedelta(seconds=80, microseconds=606861)]"
7880,[]
7887,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7895,"[datetime.timedelta(seconds=8, microseconds=190173)]"
7901,[]
7905,[]
7930,"[datetime.timedelta(seconds=53, microseconds=7543)]"
8039,"[datetime.timedelta(seconds=36, microseconds=357907)]"
8030,"[datetime.timedelta(seconds=82, microseconds=493505), datetime.timedelta(seconds=15, microseconds=767934), datetime.timedelta(seconds=75, microseconds=249417), datetime.timedelta(seconds=226, microseconds=244390)]"
8052,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=177, microseconds=507439), datetime.timedelta(seconds=390, microseconds=996806), datetime.timedelta(seconds=16, microseconds=60268)]"
8098,[]
8101,[]
8127,[]
8136,[]
8147,"[datetime.timedelta(seconds=36, microseconds=50610)]"
8173,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=177, microseconds=680740), datetime.timedelta(seconds=7, microseconds=579712), datetime.timedelta(seconds=217, microseconds=749081), datetime.timedelta(seconds=36, microseconds=415973), datetime.timedelta(seconds=278, microseconds=892013), datetime.timedelta(seconds=115, microseconds=402738), datetime.timedelta(seconds=20, microseconds=927708), datetime.timedelta(seconds=15, microseconds=713652), datetime.timedelta(seconds=60, microseconds=816875), datetime.timedelta(seconds=16, microseconds=407116)]"
8178,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=25, microseconds=171960), datetime.timedelta(seconds=9, microseconds=967583), datetime.timedelta(seconds=9, microseconds=461144)]"
8233,[]
8412,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=113, microseconds=216559)]"
8131,"[datetime.timedelta(seconds=220, microseconds=390998)]"
8145,[]
8152,[]
8170,[]
8213,[]
8232,[]
8234,"[datetime.timedelta(seconds=36, microseconds=50610)]"
8237,[]
8302,"[datetime.timedelta(seconds=132, microseconds=529310), datetime.timedelta(seconds=340, microseconds=894734)]"
8150,[]
8214,[]
8218,[]
8135,[]
8151,[]
8293,[]
8353,"[datetime.timedelta(seconds=67, microseconds=499621), datetime.timedelta(seconds=218, microseconds=581630)]"
8363,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8331,"[datetime.timedelta(seconds=482, microseconds=108883)]"
8430,"[datetime.timedelta(seconds=897, microseconds=400505)]"
8391,[]
8454,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8467,[]
8477,[]
8508,[]
8518,"[datetime.timedelta(seconds=199, microseconds=691857), datetime.timedelta(seconds=88, microseconds=483751), datetime.timedelta(seconds=24, microseconds=620380), datetime.timedelta(seconds=15, microseconds=550425), datetime.timedelta(seconds=22, microseconds=812028), datetime.timedelta(seconds=47, microseconds=81996), datetime.timedelta(seconds=11, microseconds=572814)]"
8530,"[datetime.timedelta(seconds=933, microseconds=605806)]"
8389,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8392,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8436,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=89, microseconds=880161)]"
8445,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8462,[]
8483,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619), datetime.timedelta(seconds=6, microseconds=365788)]"
8492,[]
8500,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=6, microseconds=528636)]"
8501,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619), datetime.timedelta(seconds=5, microseconds=721462)]"
8503,"[datetime.timedelta(seconds=7, microseconds=802968), datetime.timedelta(seconds=103, microseconds=332677), datetime.timedelta(seconds=15, microseconds=387474), datetime.timedelta(seconds=12, microseconds=559368), datetime.timedelta(seconds=216, microseconds=503395), datetime.timedelta(seconds=1755, microseconds=332020)]"
8448,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8488,"[datetime.timedelta(seconds=1479, microseconds=716578)]"
8491,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=25, microseconds=171960), datetime.timedelta(seconds=9, microseconds=967583), datetime.timedelta(seconds=9, microseconds=461144)]"
8569,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619), datetime.timedelta(seconds=5, microseconds=721462), datetime.timedelta(seconds=38, microseconds=154205)]"
8632,"[datetime.timedelta(seconds=294, microseconds=665944), datetime.timedelta(seconds=30, microseconds=819528), datetime.timedelta(seconds=6, microseconds=256864)]"
8636,"[datetime.timedelta(seconds=312, microseconds=801481), datetime.timedelta(seconds=37, microseconds=330027), datetime.timedelta(seconds=64, microseconds=179752), datetime.timedelta(seconds=16, microseconds=98072), datetime.timedelta(seconds=8, microseconds=90021), datetime.timedelta(seconds=13, microseconds=566771), datetime.timedelta(seconds=145, microseconds=546006), datetime.timedelta(seconds=3, microseconds=841564)]"
8647,"[datetime.timedelta(seconds=7, microseconds=732977)]"
8673,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8750,"[datetime.timedelta(seconds=17, microseconds=60218)]"
8672,"[datetime.timedelta(seconds=465, microseconds=434808), datetime.timedelta(seconds=78060, microseconds=520925), datetime.timedelta(seconds=12, microseconds=354619)]"
8687,"[datetime.timedelta(seconds=11, microseconds=738018), datetime.timedelta(seconds=52, microseconds=773940)]"
8895,"[datetime.timedelta(seconds=24, microseconds=446680), datetime.timedelta(seconds=173, microseconds=97671), datetime.timedelta(seconds=21, microseconds=202124), datetime.timedelta(seconds=65, microseconds=8250), datetime.timedelta(seconds=24, microseconds=470684), datetime.timedelta(seconds=19, microseconds=913655), datetime.timedelta(seconds=28, microseconds=335514), datetime.timedelta(seconds=63, microseconds=170766), datetime.timedelta(seconds=632, microseconds=209465), datetime.timedelta(seconds=19, microseconds=807527), datetime.timedelta(seconds=35, microseconds=568669), datetime.timedelta(seconds=540, microseconds=234720)]"
8941,"[datetime.timedelta(seconds=91, microseconds=490089)]"
8966,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=15, microseconds=692059), datetime.timedelta(seconds=5, microseconds=219638), datetime.timedelta(seconds=19, microseconds=654356)]"
9021,"[datetime.timedelta(seconds=5, microseconds=363184)]"
