spec,parseable,eloc,comments,halstead,operators,operands,halstead_difficulty,halstead_effort
.\data\code\AlloyExamples\book\chapter2\addressBook3a.als,True,26,3,"[27, 27, 58, 97]","[some, no, fact, lone, for, run, sig, pred, let, [, ^, all, set, or, in, &, module, abstract, +, -, ., ->, as, extends, =, open, fun]","[next, Group, Book-last, ordering, show, del, Addr, Name, Target, Book, addressBook3a, addr, add, a, lookup, init, b, traces, tour, n, names, util, t, 4, Alias, BookOrder, first]",48.5,19056.16981741323
.\data\code\AlloyExamples\book\chapter2\addressBook3b.als,True,49,9,"[32, 32, 98, 186]","[but, some, no, fact, lone, for, sig, pred, assert, and, let, [, ^, all, !, set, or, in, &, module, abstract, +, check, -, ., ->, as, extends, implies, =, open, fun]","[next, Group, addLocal, Book-last, ordering, del, Addr, Name, Target, Book, delUndoesAdd, addressBook3b, addr, add, a, lookup, init, addIdempotent, b, lookupYields, traces, tour, n, 2, names, 3, util, t, 4, Alias, BookOrder, first]",93.0,48507.29485529186
.\data\code\AlloyExamples\book\chapter2\addressBook3c.als,True,52,9,"[32, 32, 103, 192]","[but, some, no, fact, lone, for, sig, pred, assert, and, let, [, ^, all, !, set, or, in, &, module, abstract, +, check, -, ., ->, as, extends, implies, =, open, fun]","[next, Group, addLocal, Book-last, ordering, del, Addr, Name, Target, Book, delUndoesAdd, addressBook3c, addr, add, a, lookup, init, addIdempotent, b, lookupYields, traces, tour, n, 2, names, 3, util, t, 4, Alias, BookOrder, first]",96.0,50408.88511026711
.\data\code\AlloyExamples\book\chapter2\addressBook3d.als,True,56,10,"[32, 33, 112, 201]","[but, some, no, fact, lone, for, sig, pred, assert, and, let, [, ^, all, !, set, or, in, &, module, abstract, +, check, -, ., ->, as, extends, implies, =, open, fun]","[next, Group, addLocal, Book-last, ordering, del, Addr, Name, Target, Book, delUndoesAdd, addressBook3d, addr, add, a, lookup, init, addIdempotent, b, lookupYields, traces, tour, n, 2, names, 3, util, t, 4, Alias, 6, BookOrder, first]",97.45454545454545,52513.50120493317
.\data\code\AlloyExamples\book\chapter4\filesystem.als,True,20,4,"[15, 12, 29, 34]","[all, some, no, set, fact, in, module, one, abstract, check, -, ., sig, extends, assert]","[chapter4, Root, contents, f, SomeDir, RootTop, Object, Dir, File, filesystem, o, FileInDir]",21.25,3429.464356108077
.\data\code\AlloyExamples\book\chapter4\grandpa1.als,True,30,4,"[20, 16, 38, 56]","[no, fact, set, in, module, lone, for, run, abstract, +, check, ., sig, extends, pred, assert, [, =, ^, fun]","[ownGrandpa, wife, NoSelfGrandpa, father, language, husband, m, p, mother, grandpas, 4, grandpa1, Man, Woman, Person, NoSelfFather]",35.0,8258.781953113823
.\data\code\AlloyExamples\book\chapter4\grandpa2.als,True,27,3,"[22, 16, 41, 54]","[no, fact, set, in, &, module, lone, for, run, abstract, +, check, ., sig, extends, pred, assert, let, [, =, ^, fun]","[parent, ownGrandpa, wife, father, language, husband, m, p, mother, grandpas, 4, grandpa2, Man, Woman, Person, NoSelfFather]",37.125,9268.423799452885
.\data\code\AlloyExamples\book\chapter4\grandpa3.als,True,45,8,"[25, 23, 75, 92]","[no, some, fact, lone, for, run, sig, pred, assert, and, let, [, ^, set, in, &, module, iff, abstract, +, check, ., extends, =, fun]","[SocialConvention, parent, ownGrandpa, Same, Terminology, wife, father, language, husband, Biology, SocialConvention2, m, SocialConvention1, p, mother, grandpa3, grandpas, 4, w, Man, Woman, Person, NoSelfFather]",50.0,17720.890301937725
.\data\code\AlloyExamples\book\chapter4\lights.als,True,26,6,"[27, 23, 67, 96]","[but, lone, for, sig, pred, assert, and, let, [, all, !, =>, set, in, module, one, abstract, +, check, -, ., ->, extends, =, fun, <:, >]","[LightState, chapter4, color, Color, redLights, j, Safe, colorSequence, mostlyRed, Red, 1, s, 3, Yellow, iden, Color-Red, Light, x, Junction, step, lights, Green, trans]",56.34782608695652,20704.242799746688
.\data\code\AlloyExamples\book\chapter5\addressBook.als,True,16,3,"[26, 16, 43, 74]","[but, no, fact, for, run, sig, pred, assert, and, [, ^, all, !, =>, set, in, &, module, abstract, +, check, ., ->, extends, =, fun]","[add, lookup, b, addLocal, Acyclic, chapter5, Addr, n, Name, Target, 2, 3, t, Book, addr, addressBook]",60.125,17349.38850812799
.\data\code\AlloyExamples\book\chapter5\lists.als,True,16,3,"[13, 12, 21, 31]","[all, some, !, fact, module, one, abstract, check, sig, extends, and, assert, =]","[EmptyList, rest, FalseAssertion, e, lists, ListGenerator, Element, List, chapter5, list, NonEmptyList, element]",16.791666666666668,2392.997090011313
.\data\code\AlloyExamples\book\chapter5\sets1.als,True,11,2,"[10, 9, 13, 19]","[sig, all, some, set, assert, module, +, check, =, .]","[Set, sets1, Closed, elements, Element, chapter5, s0, s1, s2]",10.555555555555555,1002.7777777777777
.\data\code\AlloyExamples\book\chapter5\sets2.als,True,15,2,"[13, 14, 23, 39]","[all, some, no, set, fact, module, for, +, check, ., sig, assert, =]","[Set, sets2, e, 16, Element, chapter5, s, 4, Closed, SetGenerator, elements, s0, s1, s2]",18.107142857142858,2910.9640461744975
