spec,parseable,eloc,comments,halstead,operators,operands,halstead_difficulty,halstead_effort
.\data\code\AlloyExamples\temporal\leader.als,True,64,2,"[32, 30, 143, 154]","[but, some, no, fact, lone, for, run, eventually, sig, pred, assert, [, all, always, set, or, in, var, one, ', *, +, check, exactly, -, steps, ., once, implies, =, open, fun]","[next, sendEnabled, ring, ordering, Node, liveness, skip, transitions, example, compute, safety, id, 10, fairness, init, 15, i, outbox, m, n, elected, computeEnabled, 3, util, succ, 4, 6, Id, inbox, send]",82.13333333333334,41829.50344821638
.\data\code\AlloyExamples\temporal\leader_events.als,True,75,2,"[35, 34, 161, 184]","[but, some, no, fact, lone, for, run, eventually, sig, pred, assert, and, [, all, always, set, or, in, var, one, ', *, +, check, exactly, -, steps, ., enum, ->, once, implies, =, open, fun]","[next, sendEnabled, ring, ordering, Node, liveness, skip, Send, example, compute, safety, id, events, 10, fairness, init, 15, i, outbox, m, n, elected, computeEnabled, 3, util, succ, 4, 6, Compute, Event, behaviour, Id, inbox, send]",94.70588235294119,55090.52788026612
.\data\code\AlloyExamples\temporal\trash.als,True,56,8,"[29, 20, 109, 96]","[but, some, no, fact, for, run, sig, not, pred, assert, and, [, after, always, all, !, or, in, var, ', +, check, -, steps, ., releases, once, implies, =]","[restoreEnabled, restore, Behaviour, f, deleteAll, Trash, delete, empty, do_nothing, example, 1, 3, Exercise1, Exercise3, Exercise2, File, Exercise4, restoreIsPossibleBeforeEmpty, restoreAfterDelete, 10]",69.6,26190.098931353372
.\data\code\AlloyExamples\toys\ceilingsAndFloors.als,True,17,1,"[16, 22, 55, 92]","[all, &&, ||, some, no, =>, fact, module, for, check, ., sig, pred, assert, [, =]","[models, ceiling, BelowToo, toys, Platform, CeilingsAndFloors, m, n, Geometry, 0, expect, 1, PaulSimon, 2, 3, examples, 6, Man, floor, NoSharing, Above, 10]",33.45454545454545,9152.747097290156
.\data\code\AlloyExamples\toys\numbering.als,True,62,1,"[27, 39, 126, 210]","[&&, some, no, fact, lone, for, sig, pred, assert, else, [, all, =>, set, in, &, module, one, +, check, -, ., ->, as, extends, =, open]","[next, AddStyleToNumbering, DefineAncestors, NumberedState, relation, AddNeverReduces, root, rel, context, Style, acyclic, ancestors, value, numbering, equivalence, toys, initial, replaces, NumberedStyle, AddStyleToContext, 0, expect, 1, StyleSheet, s, examples, util, 4, 5, State, x, Value, AddStyle, y, Forest, z, style, PreserveForest, parents]",72.6923076923077,40263.75674297779
.\data\code\AlloyExamples\tutorial\farmer.als,True,35,11,"[29, 33, 73, 116]","[&&, no, some, fact, for, run, sig, pred, and, else, assert, let, [, all, set, or, in, module, one, abstract, +, check, -, ., ->, as, extends, =, open]","[next, initialState, ordering, Grain, NoQuantumObjects, crossRiver, far, from, tutorial, near, s0, solvePuzzle, ord, last, eating, Fox, 0, expect, 1, s, examples, util, eats, State, x, 8, farmer, Object, Chicken, stateTransition, to, Farmer, first]",50.96969696969697,23897.60269598395
.\data\code\AlloyExamples\util\boolean.als,True,26,1,"[14, 19, 41, 76]","[=>, set, in, module, one, abstract, +, -, sig, extends, pred, else, [, fun]","[b, Or, True, isFalse, False, Nand, b1, b2, Nor, isTrue, Not, boolean, util, Bool, And, Xor, subset, s1, s2]",28.0,6348.217000895065
.\data\code\AlloyExamples\util\graph.als,True,44,16,"[19, 26, 76, 121]","[all, &&, no, set, in, module, one, lone, *, +, -, ., ->, as, pred, [, open, fun, ^]","[rootedAt, forest, undirected, irreflexive, n1, n2, ring, weaklyConnected, dag, symmetric, relation, treeRootedAt, leaves, noSelfLoops, root, rel, acyclic, innerNodes, tree, roots, graph, stronglyConnected, n, node, r, util]",44.21153846153847,15164.218672728068
.\data\code\AlloyExamples\util\integer.als,True,36,27,"[18, 48, 130, 232]","[=>, set, #, module, one, lone, -, ., ->, pred, else, let, [, <, =, fun, >, >=]","[next, larger, sub, minus, smaller, n1, n2, mul, prev, lt, integer, Int, div, zero, neg, min, pos, gte, int2elem, rem, lte, nexts, add, signum, a, b, nonpos, e, elem2int, max, nonneg, this, i, eq, e1, gt, e2, plus, n, int, es, 0, univ, 1, s, util, negate, prevs]",43.5,24403.057541815884
.\data\code\AlloyExamples\util\natural.als,False,30,15,"[15, 30, 81, 147]","[fact, #, set, in, module, one, lone, -, sig, as, pred, [, =, open, fun]","[next, sub, private, dec, n1, n2, mul, ns, ordering, One, prev, lt, integer, Natural, div, min, gte, lte, inc, ord, add, Zero, natural, max, gt, n, plus, util, first, prevs]",36.75,12953.64186092494
.\data\code\AlloyExamples\util\ordering.als,True,48,15,"[30, 39, 183, 247]","[||, &&, no, lone, for, run, sig, pred, else, assert, and, let, [, ^, all, =>, set, or, in, module, one, check, exactly, -, ., ->, disj, =, fun, ~]","[Ord, next, larger, private, smaller, myprev, mynext, correct, ordering, prev, lt, min, gte, First, lte, nexts, elem, a, b, c, last, e, max, e1, e2, gt, es, 0, expect, 1, 2, 3, util, 4, 5, Next, totalOrder, first, prevs]",95.0,57344.40412905891
.\data\code\AlloyExamples\util\relation.als,True,51,21,"[18, 30, 125, 197]","[all, &&, some, no, =>, set, in, &, module, one, lone, +, ., ->, pred, [, fun, <:]","[functional, dom, irreflexive, partialOrder, injective, symmetric, relation, bijection, total, function, acyclic, ran, transitive, bijective, antisymmetric, equivalence, c, d, univ, r, reflexive, s, util, iden, x, totalOrder, y, complete, surjective, preorder]",59.099999999999994,23633.144999835546
.\data\code\AlloyExamples\util\seqrel.als,True,49,21,"[22, 44, 159, 270]","[++, no, set, #, in, module, lone, +, -, ., sig, ->, as, pred, let, [, <, =, open, fun, <:, ~]","[next, indsOf, sub, idxOf, subseq, finalIdx, inds, elems, ordering, shift, butlast, insert, integer, hasDups, delete, min, firstIdx, from, seqrel, SeqIdx, nexts, s1, s2, elem, ord, add, rest, last, max, e, isSeq, isEmpty, i, afterLastIdx, setAt, 1, s, util, lastIdx, to, lastIdxOf, first, append, prevs]",67.5,38958.23474606047
.\data\code\AlloyExamples\util\sequence.als,False,80,27,"[26, 63, 219, 364]","[&&, some, no, fact, lone, sig, pred, [, all, ++, =>, set, #, in, &, module, +, -, ., ->, as, <, =, open, fun, ~]","[indsOf, idxOf, finalIdx, elems, added, canonicalizeSeqs, prefix, prev, source, dest, hasDups, allExist, gte, from, SeqIdx, s1, s2, elem, add, last, afterLastIdx, sequence, 1, setAt, at, util, allExistNoDuplicates, idx, lastIdxOf, Seq, next, sub, subseq, inds, ordering, insert, noDuplicates, min, inserted, appended, firstIdx, destStart, copy, lte, nexts, ord, rest, sourceIdx, e, max, isEmpty, destIdx, i, seqElems, r, setted, s, lastIdx, to, first, append, startsWith, prevs]",75.11111111111111,61416.4277924483
.\data\code\AlloyExamples\util\sequniv.als,True,41,22,"[22, 45, 158, 270]","[++, no, =>, set, #, in, module, lone, +, -, ., ->, as, pred, else, let, [, <, =, open, fun, <:]","[next, indsOf, sub, idxOf, subseq, inds, elems, prev, shift, butlast, insert, integer, hasDups, delete, Int, sequniv, min, ui, from, nexts, seq, s1, s2, add, rest, last, max, e, isSeq, isEmpty, i, afterLastIdx, int, univ, 0, setAt, 1, s, util, lastIdx, to, lastIdxOf, first, append, prevs]",66.0,38654.76701386587
.\data\code\AlloyExamples\util\ternary.als,True,22,10,"[8, 16, 90, 165]","[->, some, set, in, module, [, fun, .]","[dom, mid, univ, r, util, select12, x, select23, y, z, select13, ternary, ran, flip13, flip12, flip23]",41.25,7914.409902490269
.\data\code\AlloyExamples\util\time.als,True,38,0,"[12, 23, 115, 207]","[sig, &&, ->, some, =>, else, one, let, [, =, open, >]","[a, b, while0, ordering, Time, then, while, cond, body, while9, util, t, x, while4, while3, dynamic, while2, while1, while8, while7, while6, dynamicSet, while5]",54.0,15745.432899636628
