id,parseerror_distances,not_parseerror_distances
23643,"[1, 5, 0, 2, 0, 23, 0, 0, 2, 6, 176, 176, 3, 67, 2]","[199, 10]"
23742,[],[0]
23646,[],[]
23684,[],[16]
23769,"[23, 11, 2, 14, 87, 27, 2, 34, 19, 22]","[24, 0]"
23802,[],"[557, 16, 1, 5, 0, 0, 9, 9, 573, 18, 4, 9, 5, 0, 572, 572, 351, 97, 110, 178, 0, 29, 5, 5, 336, 0]"
23903,"[416, 0, 91, 12, 0, 0, 15]","[0, 0, 104, 6, 19, 10]"
24109,[],[0]
23936,"[7, 1, 133, 97, 15, 2, 2, 2, 12, 15, 18, 1, 241, 453, 39, 4]","[614, 171, 332, 102]"
24092,"[4, 3, 8]","[139, 0, 396, 0, 0, 5, 4, 1, 8, 0, 1, 0, 0, 0, 0, 116, 0, 11, 0, 0, 1, 0, 1, 12, 6, 0, 6, 18, 0, 5, 0, 22, 12, 0, 3, 0, 1, 1, 74, 36, 0, 34, 15, 0, 3, 0, 0, 0, 74, 2, 50, 69, 0, 0, 12, 0, 0, 116, 29, 104, 167, 1, 1, 65, 9, 0, 3, 0, 2, 91, 68, 6, 3, 10, 2, 6, 199, 3, 1, 1, 1, 5, 2, 55, 318, 0, 180, 0, 18, 3, 134, 22, 37, 17, 51, 198, 98, 78, 0, 252, 2, 2, 10, 0]"
25761,"[450, 742, 0, 0, 0, 0, 3109, 614]",[]
25692,[],[]
24273,[],[]
24216,"[2101, 1740, 0]","[0, 0]"
24219,"[5, 2, 1, 1, 1, 1, 5, 4, 4, 4, 9, 1, 0, 1, 1, 6, 2, 6, 14, 1, 1, 12, 2, 6, 7, 1, 3, 1, 3, 9, 1, 2, 11, 5, 1, 0, 1, 16, 22, 3, 8, 4, 2, 2, 0, 13, 18, 4, 4, 1]","[1, 0, 26, 26, 0, 0, 34, 29, 0, 0, 0, 0, 8, 14, 2, 6, 0, 6, 0, 3, 0, 1, 2, 5, 1, 2, 0, 1, 1, 6, 0, 0, 0, 0, 2, 2, 7, 9, 1, 1, 1, 2, 2, 1, 1, 1, 6, 131, 2, 0, 14, 62]"
24220,"[5, 2, 1, 1, 1, 1, 5, 4, 4, 4, 9, 1, 0, 1, 1, 6, 2, 6, 14, 1, 1, 12, 2, 6, 7, 1, 3, 1, 3, 9, 1, 2, 11, 5, 1, 0, 1, 16, 22, 3, 8, 4, 2, 2, 0, 13, 18, 4, 4, 1]","[1, 0, 26, 26, 0, 0, 34, 29, 0, 0, 0, 0, 8, 14, 2, 6, 0, 6, 0, 3, 0, 1, 2, 5, 1, 2, 0, 1, 1, 6, 0, 0, 0, 0, 2, 2, 7, 9, 1, 1, 1, 2, 2, 1, 1, 1, 6, 131, 2, 0, 14, 62]"
24225,[5],[1]
24227,[],[0]
24272,"[0, 3, 3, 201, 2]",[]
24311,"[28, 0, 0]","[9, 0, 9, 0, 128, 139, 0, 0, 151, 196, 18, 91, 1, 9, 28, 7, 100, 64, 118, 245]"
24446,[],[]
24449,[],[0]
24534,"[0, 2, 5, 0, 11, 7]",[]
24536,"[14, 75, 66, 2928, 86, 8, 174, 3, 412, 9, 730, 1, 1, 1, 163, 34, 62]",[250]
24541,[],[]
24577,"[4, 32]","[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 0, 0, 90, 0, 0, 47]"
24586,"[0, 2, 5, 0, 11, 7, 0]",[0]
24589,[4],"[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 27, 0, 0, 0]"
24596,[4],"[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 27, 0, 0, 0, 0]"
24592,[4],"[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 27, 0, 0, 0]"
24595,[4],"[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 27, 0, 0, 0, 0]"
24599,[4],"[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 27, 0, 0, 3, 0, 0, 0]"
24619,"[4, 0]","[8, 39, 64, 111, 0, 1, 9, 43, 0, 0, 102, 22, 4, 0, 18, 103, 0, 1, 16, 4, 1, 11, 0, 0, 12, 4, 5, 5]"
24699,"[2, 2, 1, 4, 8, 91, 8, 0, 2, 13, 3, 16, 15, 1, 14, 2, 8, 13, 3, 12, 9, 4, 0, 10, 13, 9]","[57, 414, 28, 30, 34, 32, 2, 2, 67, 40, 58, 260, 2, 1376, 48, 20, 138, 72, 24, 343, 0, 0, 46, 240, 2, 65, 9, 82, 19, 1, 1, 0, 71, 75, 5, 0, 235, 585, 818, 2, 398, 225, 1302]"
24720,[],"[4, 69, 0, 25, 4, 0, 47, 2, 2, 0, 4, 345, 2, 274, 971, 101, 2, 0, 291, 4, 1313, 147, 4, 154, 405, 23, 23, 26, 6, 6, 11, 10, 12, 1528, 2]"
24750,"[4, 5, 40, 1, 6]","[33, 2, 4, 61, 39, 0, 9, 67, 76, 191, 811, 1306, 506, 39, 0, 105]"
24751,[2390],"[174, 261, 108, 1218]"
24797,"[26, 1, 1, 1, 2, 23, 6, 1, 2, 1, 1, 20, 7, 1, 1, 1, 12, 19, 79, 2, 102, 79, 10, 72, 4, 44, 2, 4, 32]","[867, 0, 0, 5, 202, 28, 156, 124, 242, 255, 2, 415, 0, 37, 2, 29, 4, 2, 0, 4, 2, 1, 768, 5, 0, 14, 22, 40, 9, 10, 5, 0, 0, 6, 6, 10, 2, 20, 81, 105, 0, 99, 156, 23, 31, 14, 53, 128, 1, 144, 21, 47, 0, 66, 217, 91, 1, 82, 172, 111, 701, 0, 0, 0, 238, 193, 30, 34, 34, 4, 2, 26, 216, 12, 206, 4, 0, 326, 39, 12, 17, 1, 1, 2, 33, 0, 39, 63, 0, 33, 24, 24, 33, 79, 185]"
24913,"[0, 0, 65, 0, 0, 0, 6, 25, 47, 8, 3, 3, 11, 3, 4, 2, 138, 0, 6, 77, 217, 5, 2, 4, 142, 79, 10, 20, 17, 157, 0, 4, 22, 3864, 21, 415, 297, 0, 6, 404, 163, 0, 26, 38, 42, 89, 4, 22]","[0, 2, 0, 10, 15, 15, 30, 0, 15, 0, 15, 0, 15, 30, 0, 33, 0, 1111, 0, 93, 1701, 0, 0, 0]"
24921,[],[33]
24924,[],"[0, 32, 124, 488, 40]"
24937,"[2, 10, 0, 33, 38]",[]
24941,"[2, 10, 33]",[]
25303,"[321, 0, 0, 0, 448, 121, 2, 3, 2, 1295, 6, 0]",[]
24957,"[2, 10, 11, 0, 1, 1, 2, 2, 2, 2, 4, 4, 0, 3, 0, 19, 17]",[]
