id,chain_length,derivation_chain
2u3JjLAqANNhYCr6j,49,2u3JjLAqANNhYCr6j -> HBhcbeoGWqSzwHDgq -> m3qED7ghmpdpKTaX8 -> aJi4rrR3NPkr5sMFD -> M2YobGHG7oo29MwSA -> GLtxrFwpNBMppweeC -> QwSWgwX9RXehyuXTu -> RRC5EvnTKvtiBSksF -> stEb3ubYdTc2PA3Wk -> 28sfjMt6pYJq9yMjG -> vfTk2vBSu5qTmaRaT -> LXQ6jMxX7XHAiekEr -> Ho4eJMZppm87NvQjC -> Be2jHtbPir9SrQdpi -> j8sydttQE8apiheek -> f3iK4xRBDpmJ8eHgd -> QWzjoT2LF8kgtLjC8 -> 6NgNZoRoJYR3h6LaZ -> WdQwsEHHybNQGEQmz -> Q87XCSt58D4k9xvj8 -> HwGpPWmBePAmpri2Y -> ggLDkPyvAiDv4tXnW -> joNHsMmyE4BibxrdT -> H7CBaTGwC5XieLJdM -> NRDbtkjCxgZL5DgDT -> Eot6zHz7fhFXvWnAe -> r3aytxTzdfG33oLoN -> 8bBYks7d6frM2KvRb -> ak3NnGCYf9tQLsD49 -> LPptqCQYEE8pYFPNG -> JyKdqmSJ3iADZZAWc -> F9euQ3mgSzHBNHsvk -> JW22X9yEG6Rk5JMHQ -> yPX6waxLe2efSy7xt -> aDd9mj4oEpZ5nx4hL -> v294wYGMsNjzjQrvQ -> HNo7XaytNhgfEeyXx -> tYwPvm4gZ2a3YkuhZ -> 9Hv57dypRrFywLCd9 -> gDAzKFP5ivjJEzAJn -> nX2iTevNzQeJ9e79j -> H5YLKQvPvhv4jJvr5 -> Fk4cxT9g8SJaoChPF -> FaKftHpsxqwhdEL8w -> 6w4TuFnTy3c7yXLep -> WZYvRsKFmZBuzyKbS -> aBg7pDvBCGpDMJbHT -> y5bJXPNCe3wyhcurx -> 9jPK8KBWzjFmBx4Hb
9fm5gvWbokWhpBKqB,18,9fm5gvWbokWhpBKqB -> G6orGemBdZAkYe4Dr -> MEX54YXZZ7MyogQYj -> qi5GQJ55kNkRACEE7 -> 7QeF56MHmf2j78Kch -> LEYxiEGCkfD9i4yML -> A5bAY7qSJhijuucpo -> TfLHJRLYbRYHMBfFK -> PjjK6tBuzMnJWjdMh -> tCbsKQ49P6twsLzwm -> 2dRLgi6zSCpvJhzA4 -> hmNNZBzmEnpmwNxbn -> q2nWGdxwMtHJFychk -> tPmrgGwQt6cbebJw9 -> LHfYAHnTqGKMCsbu2 -> h9YPs7E5r3KbhoAZP -> bH4Dj6hAETin9mBc2 -> 9jPK8KBWzjFmBx4Hb
qCXykJBTfsLPXbRdz,27,qCXykJBTfsLPXbRdz -> Gav26jB5FSx7yQSHZ -> vHy3K3ARdcMtZngZc -> g59yQxfy48FxcmEXE -> BkSbLzmA3ZGYRjcP2 -> AvWTwyyCYHBrzeDLM -> 3NZdcvJZFax8MeSwC -> dSd8kR2G8Q9TdxCcS -> P8MT2v8JEhen5vknt -> kFQjkKGqXjAHai2vH -> GSEWDH6ou9Lur3pNE -> FbKvPqPgQ5g46u5y3 -> ns82SNAfv5vrHogsq -> 3hPThCnJk8nwgse3u -> BWjZMMgPCKCQykWLR -> R3vRxo3AZ5pQoaz8n -> tuzey5LNStpmYaELE -> umgA9x49Xqg6MFWMs -> oMwvgbeF286cfSQAA -> sGpfzDwswMukrqTwM -> huzh8jf7rP7hg7LND -> KyJ6s2hNnrzkfoHWa -> MeLxNDMvBnSkzRExC -> rFL2nXx2oR5FjPh2n -> PXLGmdj3jZNta8KhK -> KHEJXiAB5F5Ng7GgJ -> 9jPK8KBWzjFmBx4Hb
B3TcLpqzsgAqswZef,62,B3TcLpqzsgAqswZef -> AKaF6n2H2BgqyLrR3 -> msrLeDn3DpAvftT8n -> c5vmXBGaGPGqKSWPR -> 7pjtAZvmCFmddJ26b -> X99RuKqgzRS6JsJBp -> fikv7uDEZE9i6irwo -> xPBXWd5vNipDjy3eB -> 9jTJusYPoX3nrufDu -> aGxhN8qufG766zoQb -> jMHNBRALXsRT4ymTq -> ixHG3iTs9iyyc4dE5 -> S8fNbPB6tXagEr9Tz -> WqQ4vxJgvz2TbedhP -> rzDsJSnkD4eK3T492 -> bz8kyyNSSZLfdDsdN -> 9QzZgydoqvYb4eEcD -> ix6v7CieKPmo2ma4p -> z838wA28tFe9WYbLT -> QsGhbmqzdRXfFjBNo -> 4ZnhPspD8dkzqwdmz -> ccjxSTpicMzcQJssZ -> b2i9HZdkf3HedkmNx -> g4ezrHCZ8qoGhBPyM -> v654giz9YehdoCDCA -> f4NhAP4kXLwz5NDLr -> MbNtxsHknDPd3Mpc3 -> ESSnn82eDaKJk2bnp -> TiL8ZRzm9iNF9dCyH -> Hg3SaDNqMc3uSXY64 -> 8rCG3b5KtEHioq3Ek -> rHh8ph9Dqda3AT6ZL -> 9EDoWgh7D6pz2x6uG -> vdYP6eJ6hodqbaedX -> yRworpgXpcizd7hdw -> X6QsYgvdbc4P4754C -> JsR9gbeqD5oKQk7xy -> Kw9iqgge8aAj8vHx7 -> R4LjemyeFhKD8Q5h5 -> XMWgYAQTiB4LXkAtn -> PXHT7HqkpcvZ3WbJd -> KmmocWuPPzhE3NmfY -> y9mfqBpzmNJ53w6Bn -> 9GxamuCyKHJ2Zzi6Q -> bnduceBFB6W2TSG4B -> Diob2JCh9yei4Cp5J -> wmYg29YhTsX9vAi3W -> wTgYgFwT6zYWxYxur -> 4JHQyzHAkE89xLMfn -> 9LHrQWw9h3m8SpcbX -> DttMkdC55a3zn3JbM -> fchorkFRcyukM46s5 -> TPsxWmXSNEsc7wiyM -> dKR4bsFMdsgKbAYDZ -> rAiA5uctu3iXcLN4Y -> w8o27DpzrEsPQ2oS6 -> 4dfoKz92bcck6Srua -> eRPq4WFCD3Fj9pSi6 -> 8JZWoNDSrQ3PXdeGq -> waXXhgPZ4CYhAqtue -> dKEZmi6fLwigwSqCu -> 9jPK8KBWzjFmBx4Hb
Ym7SGD3bMh7isWsnR,15,Ym7SGD3bMh7isWsnR -> gNdhwwqExekz3Jt8i -> C2WQS7Q5isAXBacMt -> arZ5w452ntPPhdQsF -> ja5Qj9xqCbriHafkS -> 87DM32y6RwznYibg8 -> jWNmtr7QTDhvWzaHd -> deXZJNB9Cozmsm6dH -> CPvbP4sLgBBrznYYr -> EyXPLRr5k34BYxAwf -> 6vw72bG6JCNhxeDcR -> xk4jpRHNJ6vsBo4kT -> kREWhbFSiix6PdywD -> Tw8uaZowbSCotoCdD -> BGnWsiJhqWwaYPo7G
PPEsvXnyf76pfsv9Y,2,PPEsvXnyf76pfsv9Y -> 9jPK8KBWzjFmBx4Hb
F7owei4fZuu68NJf6,60,F7owei4fZuu68NJf6 -> QqtfZKuN9qtiuZG9L -> Hdxsz5pgKHDubyqa6 -> hGWrydbrBGkFrLx6a -> CDtsrfQvkdNkFQdRZ -> rWjvRZBER5MKFt6or -> qYkzwyTXRoJ3msF6J -> 5cpZPWQsRTTx7qfbv -> 9C7u46fpgR7AvwbsX -> hyPJWiY8ZDMEqA6ri -> ezsiDvnTMwwFgD74m -> fmeqCuNhQvptMQZdX -> BeZtp5eLGcpk8P6Wj -> qqKZTX43JcQjFkKaB -> NQNG8L8WtoyJfgL3Z -> B9tiHx7sZbEqP9RAt -> 57TuLfdtDJDrsFDiP -> jxz3foXxTf7E8yf8M -> Ro4QjwgsZMwCFz82c -> 4qRdrz9S7o8HTkukc -> b6XnWtBTrYvKjxNGs -> tP4wF8dBkyEAcgo88 -> BHXQdndTfPtsX44tA -> 44LMNyXGF8Xu6iwT5 -> vdXvCbMtfdmETZSyN -> vGxiDtwcfwQtkgmy5 -> wNPNhBGuWz6D2wcLH -> zF5nyeBH7Bpt3CEzS -> Sw8FjtauH6sHNjyE3 -> XddQZbFdfBWa9zw5c -> G8HajbvgtAHKtHRdq -> GAFXr9NPRpEvWCWot -> L2WaadjfyEv7qsAt4 -> 45uZoyFEhKfsxB6JF -> sZ6K4wWHzvzmr83og -> X27W7EoiYrirNcgNb -> QYaxgZQ5ZhGNoLnJf -> 5iCnGWSM3xFKenvyH -> CM7uFrKxPxjtKJLbK -> Ddnf7PDQ4T8wJSYvW -> uGhdyCPZqoQYjtk2g -> HeSnqHNDLE4oqPgRn -> BGdSxexzyD7KHzjcQ -> xDp77aXibiM3u9ddq -> pqDfjntRuvfHHx5Ba -> t28JH3vNGRjpihgcQ -> n8rWovppqXekuSBi2 -> MRAe5B6FA3KGt9vrG -> P9bdxK3yoDg4gXAjH -> RGtG74SB8idByL8mJ -> HAKsJPTPXRKii7Q2n -> Pn7B9zR5eY8hh9yAr -> NQzpAxQWc2bepoeu5 -> HJuDCX3Zj4dbkpd9m -> oTvgvW8Fp2L5gzcgw -> asCyCG8ThfYbBcN8h -> osM7SzcYe9zAKyRMD -> CG9cP7gFQdazQCpPi -> XBNRx4SMF3tZxSm4P -> 9jPK8KBWzjFmBx4Hb
vpPyagBCyBg3N4EWT,106,vpPyagBCyBg3N4EWT -> yzRDXBSyYFmEYwtrq -> M8HEkB3ty3qdc5QSi -> QF2KMMesZYfdc4Cfi -> ncxB7SoEZQGhkAzAf -> cqXwX9nTkzb2q5s57 -> hSsMTocPF5z3MffvS -> JRRZsr7e6CbLYSy9m -> rXe8LAGK9tYabj6rs -> r6SSQM23E4R6yHagq -> JcJM9hYsvqu5GNwoD -> 9jL6M89EguhkkR7tA -> TDWTwQscxWWntWyRb -> J9uasp5Xb2aEnb3iC -> F4KvQH5yN49NhZHHk -> NFp4o2sEa2RMBmNA7 -> 9fQgCeDT4x4Gd9Add -> afbgGFbSHDtr24NzN -> gnFoE9QfWSa9jMSwL -> oggr4hLQ5YZBtBZhb -> 4Pmes9cbJCL6coFit -> z3DKp46vnJid2FDua -> 3tL4CiuNNX5Eqf2u6 -> 5qLSTKWo9tJRNrWY7 -> jPiNt6kHYLKY4H9Qf -> AxfAmLCMgudXhr2L8 -> T6i8EK9ZjPHeK9ejc -> djDkYfZvCttpjvtWg -> GToptnowxiKXS6mgj -> gLCf8g2akCNmSHf7Z -> XiCvwnSbu9Gx2jsrx -> z4d9b5Au7MANzZmzx -> BiE3qoonDPZxf2XT6 -> v9vmPb7ammvNoPffL -> iddssJWXoRPkeDBPX -> qvqhWTeAMposBM75p -> Xq69gGZj3JSQr2zbq -> 2vKd5DAkFNnF7dMcX -> zWXsHz9nWfcZcZnSF -> raRXFvyofGywkbS5s -> HD72y2tn8ZH8jDPsN -> PMNMXxu3qRtQkt8GQ -> ZurSqtJuT6xtLaskf -> ZScuhjsjH8DCo4q2c -> 5bPBiiAbs9NaSNp3u -> BNMArEkk7dKxtZpkv -> XGCzDny6ovC7W66dy -> swtnekqXM4JjrXbXW -> mc5XA7uwkev8rsKxi -> LoLaWCCtkJwqkfgCN -> yktrwS4f8QN5WMhc9 -> zgSgegLAsP7adpdqY -> kMdmENNXhPYswkJTc -> PtoYj87odL3tCBaSR -> D78Gv4pcsfwauwr83 -> LWmfjQ4cEowqTKWvh -> 5vGqACq5HjZGvfjTD -> x7BFd8HTPFjAtR9pZ -> S6tdcgLrMGeG2fuPQ -> m9HZE2fZt9WwXrsGe -> dRuNdHM6sX49QRQLR -> 34xYtTLtnbgbLS8c9 -> eeQvcyhYvEmTnacW3 -> dYt2fdQT3wd54qYD7 -> XW9HrDRZF4yM4iCc6 -> j9bN966QXwWxMHcJi -> FQucdRZ3hwnrWwjh6 -> ZNhNygntiCocry692 -> GTwjEuf3PNELpeMiY -> 4AGK2wqRcR3fn34JC -> JfkmRrAL3DcSHDwhS -> 4K2njbjy5s5J28jcp -> NYAHHFeYWQk5xL9eA -> FuruMzFm4Q8KtzAiS -> tPgHFAzPMzZGpz7uc -> wMuQiqnKJru8rqRJ3 -> FAfETFoByJp9ick6F -> ADnfX7g7oF67K4vJb -> pqpxnQr82vsbPPjZW -> hXqpmebzzd2k5gNvX -> 728qmKmA9icPZ2EJj -> vRczvbZ2gyMmWBAKb -> ZmxoWrbQ7Jno8KfCc -> LfTgXYhskYLbkio8m -> ZLKBeTcrTp8CWeyvj -> 42YNTimfKModwcv4s -> mzeWk2succAoNC9Gr -> TuwaxqAH9GK9LsaF6 -> e8ivcA9jvkF7k8f5o -> XkpEcBmqmHmxXqTEw -> y2gLk6FuZsmsP8ZH9 -> Hxi5AZnLWnsagfAxE -> RSBCZhvpSphkte2tp -> L4i3Nn9oCmdLRzRnj -> MfvcoqdHcg6PRZwZt -> 3bejoPotCEfEpzwai -> dJD8xGC5PrRAn9aTY -> LjdPRkfuHfKGmxkNS -> miYv24Ffcy7HQ4Bzu -> eQCDRoFTv5jMzEvvX -> eB4ELgfC7M9fiCLD2 -> bjTbQdwn8fa4bahFb -> TmzFntZFh6AGFxBwx -> KTk2dCuBFy2eXqtcg -> NGqY3dnG2Nv6yThbX -> 9jPK8KBWzjFmBx4Hb
JCzZ6wk2sT4vGj86e,77,JCzZ6wk2sT4vGj86e -> abiy4kr84tdGuKJur -> fFCBZjwHP6kut5sDQ -> 6kgs78upr5uFEsRwT -> ZJW7w7mkFfHzSnhxQ -> fEFWjHMDXyJXJaGzS -> 8x4Shj67PijTgxgsn -> MsJdJknAuudPnL2Mw -> dh5EopQqbBQ7tevYE -> ZP9AHoR2ZtASjF5dS -> feAqeidonnHemeEiG -> XwMSGNFsTL28KgBMz -> bCuL2wqJK9khxz7Pr -> LwoG2GydxupuQWqde -> 7X2Xf9szSKcpPz6mQ -> ywBcSd7vLhuWTt7ZR -> XeXKoQ3nY2ozkQfQ6 -> fnJzrrpcj6umPDv5Z -> hK59jnYbjZm4MQnEE -> ipADGtxxtB8mWsZTW -> axGqH2DkExeNKs27B -> 38aWjvGCon5TxaBeC -> tX8KRM22NLQdtNnEQ -> iRx43jwbA8r8i3Czs -> rM7encnZLKMedjwW4 -> 8Wnfi7Te33BxXBbPr -> 58S5bKtyvxXJQttT5 -> xxfStMNvsEw6WQcTn -> Ygu939Mf6W9zDPqMz -> FPXLXyapPzPAKbBnM -> 6DT8oZjfkemKShrD9 -> wLqjoJssRqJ3nymxr -> Xw6NaXsW9gxfR5m9B -> 6oGgFgnDTc5ecK6k8 -> qc8g8JxxRi35MTvGX -> pbBfBmE6GKvGD9hBS -> jYppRZeXAAzwTpW2H -> zP4YxfTijqHd9YycN -> qJPBWpRT8PtatjuTm -> BzcvAcvfrGPHicSjB -> rGQbKM57KDQSc9tMe -> gTGuowAsSBK7PLWDj -> rDqmTGno9Z7wNEcoX -> g3GQr2Se2b89oMNaH -> 8nfajn8gYg7H6426r -> HtbiC6ThhJSZgQB4s -> LGCzHbCd8fQJ6adPf -> zxsn5B4352rTkPKpn -> rdPyAukid2mcjS5nM -> Mvs6wMcLjoAWBKNpG -> TtxjZqhRvrdGLqm9k -> 7tqnnGZk9EJLLFYjk -> TMfyk88J5EYF3AoiC -> 8LB8dF8g85LjQpCGh -> 2spJpP9XvE7s3rFo8 -> DxEyQKAQZpWYg4HuP -> xJ6SY98p37arvMdoh -> SMmzCc8j46DAZBeYL -> QxzuNvMxDBYNeyHKc -> kScqSb224cKjmi7vN -> XSLWndYgpaqxKFSi7 -> qGHKAkikk68BYnGMw -> mMBQBHkLB9cbNncvz -> jN5Kf6hBhF4XFQfHB -> DcXTqWsL8WzbRTEms -> x7mivsc8DzBFGmXAY -> TzfWPiW37mfyd7j5X -> dNRJLqZ2XHpagPXhL -> y4ushMnhdF8crc88W -> tEuRR5wpsARHc9zqv -> MdqsZM8mDYsMvxzds -> mtnCePAxwkfjYyKRi -> yrCEXoaziKN6ZyacN -> ab9pPjEXdK9bkxXxC -> 4pzNyA8WGbkL8Pque -> GR3gHn8yGEGzBBs2R -> MdZs9uee25QgFwvi7
xbHRZKtEEX6ECdL7Z,3,xbHRZKtEEX6ECdL7Z -> xiJ9ipczDBYRLXMum -> 9jPK8KBWzjFmBx4Hb
